t1.name,t2.total_w,t2.total_l,t2.total_t
Alberta Oilers,38,37,3
Mighty Ducks of Anaheim,381,427,107
Anaheim Ducks,257,178,
Atlanta Flames,268,260,108
Atlanta Thrashers,342,437,45
Birmingham Bulls,99,129,13
Brooklyn Americans,16,29,3
Boston Bruins,2856,2207,791
Buffalo Sabres,1569,1219,409
Calgary Cowboys,72,78,11
Calgary Flames,1169,954,271
Carolina Hurricanes,515,461,86
Calgary Tigers,71,67,4
Columbus Blue Jackets,342,441,33
Chicago Cougars,94,132,8
Chicago Black Hawks,1568,1701,617
Chicago Blackhawks,892,827,197
Cincinnati Stingers,142,164,15
Cleveland Crusaders,150,144,20
Cleveland Barons,47,87,26
California Golden Seals,116,283,73
Cobalt Silver Kings,4,8,0
Colorado Avalanche,677,462,101
Colorado Rockies,113,281,86
Czechoslovakia,2,10,2
Dallas Stars,752,487,125
Detroit Red Wings,2613,2156,773
Denver Spurs/Ottawa Civics,14,26,1
Detroit Cougars,64,87,25
Detroit Falcons,34,41,17
Edmonton Eskimos,78,58,6
Edmonton Oilers,1176,1036,262
Edmonton Oilers,221,236,21
Finland,0,1,0
Florida Panthers,573,605,142
Haileybury Hockey Club,4,8,0
Hamilton Tigers,47,78,1
Hartford Whalers,534,709,177
Houston Aeros,285,170,19
Indianapolis Racers,118,202,24
Kansas City Scouts,27,110,23
Los Angeles Kings,1428,1561,424
Los Angeles Sharks,62,88,6
Les Canadiens,2,10,0
Minnesota Fighting Saints,19,18,5
Minnesota Fighting Saints,154,127,12
Michigan Stags/Baltimore Blades,21,53,4
Minnesota Wild,405,362,55
Minnesota North Stars,758,970,334
Montreal Canadiens,70,67,1
Montreal Shamrocks,3,8,1
Montreal Wanderers,73,77,0
Montreal Canadiens,3135,2052,837
Montreal Maroons,271,260,91
Montreal Wanderers,1,5,0
Nashville Predators,503,424,60
New England Whalers,281,236,38
New Jersey Devils,1120,922,219
New York Raiders,33,43,2
New Westminster Royals,20,24,0
New York Americans,239,373,124
New York Islanders,1347,1345,347
New York Golden Blades/Jersey Knights,32,42,4
New York Rangers,2535,2464,808
Oakland Seals,66,118,42
Ottawa Senators,93,57,0
Ottawa Nationals,35,39,4
Ottawa Senators,258,221,63
Ottawa Senators,679,651,115
Philadelphia Blazers,38,40,0
Philadelphia Flyers,1756,1202,457
Phoenix Coyotes,557,498,94
Philadelphia Quakers,4,36,4
Phoenix Roadrunners,106,114,18
Pittsburgh Pirates,67,122,23
Pittsburgh Penguins,1507,1530,383
Portland Rosebuds,38,40,0
Portland Rosebuds,12,16,2
Quebec Bulldogs,73,63,2
Quebec Bulldogs,4,20,0
Quebec Nordiques,497,599,160
Quebec Nordiques,295,237,24
Regina Capitals,55,55,2
Renfrew Creamery Kings,16,11,1
Saskatoon Crescents,23,32,5
Saskatoon Sheiks,34,22,2
San Diego Mariners,119,106,14
Seattle Metropolitans,112,96,2
San Jose Sharks,721,672,121
Saskatoon/Moose Jaw Sheiks,5,19,0
Soviet All Stars,7,5,2
Spokane Canaries,8,15,0
St. Louis Eagles,11,31,6
St. Louis Blues,1544,1429,432
Tampa Bay Lightning,588,732,112
Toronto Blueshirts,46,51,1
Toronto Tecumsehs,7,13,0
Toronto Arenas,18,22,0
228th Battalion,7,7,0
Toronto Ontarios,4,16,0
Toronto Maple Leafs,2544,2437,773
Toronto Toros,108,118,11
Toronto St. Patricks,109,111,10
Victoria Aristocrats,36,46,0
Victoria Aristocrats,38,50,2
Vancouver Blazers,64,89,3
Vancouver Maroons,30,28,2
Vancouver Canucks,1353,1454,391
Victoria Cougars,27,32,1
Victoria Cougars,31,23,4
Vancouver Millionaires,114,97,0
Vancouver Maroons,22,34,2
Washington Capitals,1305,1269,303
Winnipeg Jets,302,227,26
Winnipeg Jets,506,660,172
Winnipeg Jets,37,35,
